Frequency in Hz; Amplitude in V; Phase in Degree
2000000.000000; 0.523252; -5.953543 
4000000.000000; 0.522696; -12.014528 
6000000.000000; 0.525237; -17.995874 
8000000.000000; 0.523702; -24.075154 
10000000.000000; 0.523809; -30.118047 
12000000.000000; 0.524355; -36.099518 
14000000.000000; 0.523934; -42.209679 
16000000.000000; 0.523255; -48.187000 
18000000.000000; 0.523626; -54.279398 
20000000.000000; 0.523448; -60.319558 
22000000.000000; 0.522600; -66.187940 
24000000.000000; 0.522131; -72.295286 
26000000.000000; 0.520789; -78.351226 
28000000.000000; 0.520594; -84.370589 
30000000.000000; 0.519682; -90.336081 
32000000.000000; 0.519249; -96.461751 
34000000.000000; 0.518312; -102.135931 
46000000.000000; 0.509304; -140.514428 
48000000.000000; 0.506110; -146.054392 
50000000.000000; 0.504865; -151.851210 
52000000.000000; 0.503547; -157.802349 
54000000.000000; 0.501365; -163.671513 
56000000.000000; 0.499785; -169.461186 
58000000.000000; 0.497204; -175.321287 
60000000.000000; 0.496249; 178.663062 
62000000.000000; 0.494579; 172.699488 
64000000.000000; 0.493130; 166.421515 
66000000.000000; 0.489934; 160.816034 
68000000.000000; 0.489166; 154.604517 
70000000.000000; 0.487189; 148.807041 
72000000.000000; 0.485581; 142.645876 
74000000.000000; 0.482553; 136.438595 
76000000.000000; 0.480684; 130.700753 
78000000.000000; 0.477988; 124.736911 
80000000.000000; 0.476115; 118.684457 
82000000.000000; 0.473253; 112.495825 
84000000.000000; 0.469401; 106.761112 
86000000.000000; 0.467422; 100.488829 
88000000.000000; 0.464277; 94.678163 
90000000.000000; 0.461288; 88.707038 
92000000.000000; 0.457732; 82.648101 
94000000.000000; 0.455259; 76.759191 
96000000.000000; 0.451520; 70.578370 
98000000.000000; 0.448801; 65.020631 
100000000.000000; 0.446447; 59.002630 
102000000.000000; 0.443128; 53.007546 
104000000.000000; 0.439605; 47.105904 
106000000.000000; 0.435585; 41.594198 
108000000.000000; 0.432926; 35.336557 
110000000.000000; 0.431806; 29.761132 
112000000.000000; 0.425354; 23.660601 
114000000.000000; 0.424644; 17.935610 
116000000.000000; 0.419275; 12.247733 
118000000.000000; 0.416990; 6.535325 
120000000.000000; 0.412719; 0.945242 
122000000.000000; 0.409550; -5.153833 
124000000.000000; 0.409243; -10.782730 
126000000.000000; 0.403297; -15.494401 
128000000.000000; 0.401877; -21.485743 
130000000.000000; 0.399562; -27.489988 
132000000.000000; 0.396861; -33.291771 
134000000.000000; 0.395562; -38.476928 
136000000.000000; 0.390988; -43.660926 
138000000.000000; 0.391196; -50.059922 
140000000.000000; 0.389583; -55.829383 
144000000.000000; 0.385997; -65.951794 
146000000.000000; 0.383890; -72.519689 
148000000.000000; 0.381852; -78.651503 
150000000.000000; 0.382035; -83.897030 
152000000.000000; 0.381633; -89.941923 
154000000.000000; 0.380520; -94.244843 
156000000.000000; 0.378169; -101.326662 
158000000.000000; 0.376724; -106.376056 
160000000.000000; 0.375496; -111.742994 
162000000.000000; 0.374238; -118.578145 
164000000.000000; 0.372538; -123.730859 
166000000.000000; 0.368930; -129.263584 
168000000.000000; 0.368231; -134.799683 
170000000.000000; 0.365515; -140.917307 
172000000.000000; 0.362845; -146.448784 
174000000.000000; 0.360479; -152.420753 
176000000.000000; 0.357698; -158.048288 
178000000.000000; 0.355529; -163.621825 
180000000.000000; 0.350767; -169.291966 
182000000.000000; 0.347591; -174.458606 
184000000.000000; 0.346572; 179.580485 
186000000.000000; 0.343004; 174.026580 
188000000.000000; 0.338452; 169.007809 
190000000.000000; 0.335707; 162.715969 
192000000.000000; 0.332561; 157.563404 
194000000.000000; 0.329649; 152.064894 
196000000.000000; 0.325663; 146.821009 
198000000.000000; 0.320539; 140.760407 
200000000.000000; 0.316853; 137.708544 
